3085316819955642421|823919765518184331,6355079600795761828
1843393136072132465|6192300130375446795,482335657944113700
7686940095533370441|8437450103255558643,2758799721681140444
2203961460436370290|5692096006915767066,2134849957545601077
5785372171268592301|714986200743702024,6535503411608239399
7711849513793971681|6082808013626946958,519207230701266593
6514544604379756940|1111301318710028424,6643587053860895655
8605501780353421448|5326179636921640974,1924309973282814753
5433697186200037516|2729753298216307718,8555970376352603945
1844237539560786556|3414857344409026688,8951717046589264815
9108648776674712972|5326179636921640974,1924309973282814753
4602728615912559620|6455897603889513843,777175752868107868
3118948215896369324|6923947058518916594,3695252675881873117
2958085951281442793|8639692067945191938,2646071186894833965
5746692667391804452|497413740394867203,6177191263746603308
